imdb_title_id,original_title,year,date_published,genre,duration,country,language,imdb_score,budget,worldwide_gross_income
tt0033704,Hellzapoppin',1941,1948-01-09,"Comedy, Music",84,USA,English,7.5,,$ 4982
tt0033804,The Lady Eve,1941,1946-04-26,"Comedy, Romance",94,USA,English,7.8,,$ 13020
tt0033870,The Maltese Falcon,1941,1945-10-30,"Film-Noir, Mystery",100,USA,English,8.0,$ 375000,$ 1255
tt0034162,The Sea Wolf,1941,1948-01-03,"Adventure, Drama",100,USA,English,7.5,$ 1013217,$ 6192
tt0034167,Sergeant York,1941,1948-12-01,"Biography, Drama, History",134,USA,"English, French, German",7.7,$ 1400000,$ 16364924
tt0034240,Sullivan's Travels,1941,1947-10-13,"Adventure, Comedy, Drama",90,USA,English,7.9,$ 689665,$ 10249
tt0034398,The Wolf Man,1941,1949-03-31,Horror,70,USA,English,7.3,$ 180000,$ 420
tt0034492,Bambi,1942,1948-02-11,"Animation, Drama, Family",70,USA,English,7.3,,$ 267447150
tt0034583,Casablanca,1942,1946-11-21,"Drama, Romance, War",102,USA,"English, French, German, Italian",8.5,$ 950000,$ 4374761
tt0034928,Jungle Book,1942,1948-07-16,"Action, Adventure, Family",108,"USA, UK",English,6.7,,$ 3905444
tt0034936,Keeper of the Flame,1942,1948-12-21,"Drama, Mystery",100,USA,English,6.8,$ 1172000,$ 15392
tt0034946,Kings Row,1942,1948-10-28,"Drama, Mystery, Romance",127,USA,"English, French",7.5,,$ 5093000
tt0035419,Tarzan's New York Adventure,1942,1942-05-01,"Action, Adventure",71,USA,English,6.6,,$ 5927420
tt0035423,Kate & Leopold,2001,2002-03-01,"Comedy, Fantasy, Romance",118,USA,"English, French",6.4,$ 48000000,$ 76019048
tt0035429,Went the Day Well?,1942,1942-12-07,"Thriller, War",92,UK,"English, German",7.5,,$ 47214
tt0035446,To Be or Not to Be,1942,1946-12-12,"Comedy, War",99,USA,"English, German",8.2,,$ 4578000
tt0035753,Le corbeau,1943,1948-06-04,"Crime, Drama, Mystery",92,France,French,7.9,,$ 36089
tt0036112,The Life and Death of Colonel Blimp,1943,1950-12-16,"Drama, Romance, War",163,UK,"English, French, German",8.1,GBP 188812,$ 30129
tt0036775,Double Indemnity,1944,1946-10-12,"Crime, Drama, Film-Noir",107,USA,English,8.3,$ 927262,$ 13886
tt0036838,Die Frau meiner Träume,1944,1944-08-25,"Comedy, Musical, Romance",93,Germany,German,6.7,,$ 864
tt0036868,The Best Years of Our Lives,1946,1948-04-10,"Drama, Romance, War",170,USA,English,8.0,$ 2100000,$ 23656620
tt0036910,The Chronicle History of King Henry the Fifth with His Battell Fought at Agincourt in France,1944,1945-10-28,"Biography, Drama, History",137,UK,"English, French",7.1,GBP 475000,$ 62619
tt0037059,Meet Me in St. Louis,1944,1945-01-01,"Comedy, Drama, Family",113,USA,English,7.6,$ 1700000,$ 485932
tt0037382,To Have and Have Not,1944,1947-03-13,"Adventure, Comedy, Film-Noir",100,USA,"English, French",7.8,,$ 12459
tt0037536,The Bells of St. Mary's,1945,1946-02-21,Drama,126,USA,English,7.3,,$ 21333333
tt0037558,Brief Encounter,1945,1947-03-28,"Drama, Romance",86,UK,"English, French",8.0,GBP 170000,$ 107384
tt0037611,Conflict,1945,1947-02-27,"Drama, Film-Noir, Mystery",86,USA,English,7.2,$ 774000,$ 9635
tt0037635,Dead of Night,1945,1946-02-15,"Drama, Horror",103,UK,"English, French",7.7,,$ 1919
tt0037638,Detour,1945,1946-01-25,"Crime, Drama, Film-Noir",68,USA,English,7.4,$ 30000,$ 16172
tt0037674,Les enfants du paradis,1945,1950-08-25,"Drama, Romance",189,France,French,8.4,,$ 42781
tt0037913,Mildred Pierce,1945,1947-12-04,"Crime, Drama, Film-Noir",111,USA,English,8.0,$ 1453000,$ 10128
tt0038109,Spellbound,1945,1948-10-23,"Film-Noir, Mystery, Romance",111,USA,English,7.6,$ 1696377,$ 19000
tt0038348,La belle et la bête,1946,1947-07-11,"Drama, Fantasy, Romance",96,France,French,7.9,,$ 298718
tt0038355,The Big Sleep,1946,1947-12-23,"Crime, Film-Noir, Mystery",114,USA,English,7.9,$ 250000,$ 22356
tt0038417,Cloak and Dagger,1946,1948-08-12,"Adventure, Film-Noir, Romance",106,USA,"English, German, Italian",6.6,,$ 9719952
tt0038419,Cluny Brown,1946,1947-02-07,"Comedy, Romance, War",100,USA,English,7.5,,$ 17155
tt0038492,Dragonwyck,1946,1947-05-17,"Drama, Thriller, Mystery",103,USA,"English, French",7.0,$ 1900000,$ 5434
tt0038499,Duel in the Sun,1946,1948-11-18,"Drama, Romance, Western",129,USA,English,6.8,$ 8000000,$ 20428771
tt0038574,Great Expectations,1946,1947-05-03,"Adventure, Drama, Mystery",118,UK,English,7.8,GBP 350000,$ 19329
tt0038650,It's a Wonderful Life,1946,1948-03-11,"Drama, Family, Fantasy",130,USA,"English, French",8.6,$ 3180000,$ 6130720
tt0038669,The Killers,1946,1947-03-17,"Crime, Drama, Film-Noir",103,USA,English,7.8,,$ 58222
tt0038733,A Matter of Life and Death,1946,1948-03-11,"Comedy, Drama, Fantasy",104,UK,"English, French, Russian",8.1,GBP 320000,$ 124241
tt0038762,My Darling Clementine,1946,1947-09-09,"Biography, Drama, Western",97,USA,"English, Spanish",7.8,$ 2000000,$ 15293
tt0038787,Notorious,1946,1947-10-30,"Drama, Film-Noir, Romance",102,USA,"English, French, Portuguese",7.9,$ 2000000,$ 113061
tt0038824,Panique,1946,1947-01-15,"Crime, Drama",99,France,French,8.0,,$ 46041
tt0038890,Roma città aperta,1945,1945-10-08,"Drama, Thriller, War",103,Italy,"Italian, German, Latin",8.0,,$ 16712
tt0038969,Song of the South,1946,1950-03-23,"Animation, Comedy, Family",94,USA,English,7.1,,$ 37459346
tt0039155,Antoine et Antoinette,1947,1947-09-27,"Comedy, Drama",78,France,French,7.3,,$ 9704
tt0039220,Brighton Rock,1948,1948-09-21,"Crime, Drama",92,UK,English,7.4,,$ 72434
tt0039302,Dark Passage,1947,1948-10-11,"Film-Noir, Thriller",106,USA,English,7.5,,$ 9693
